,arg
590,It's nan.
718,There is a person named nan.
790,There is a person named nan.
820,There is a person named nan.
556,There is a person named nan.
159,Is that nan?
602,It's nan.
356,It's nan.
874,There is a person named nan.
346,There is a person named nan.
166,There is a person named nan.
879,Is that nan?
567,Is that nan?
662,It's nan.
782,It's nan.
572,It's nan.
902,It's nan.
580,There is a person named nan.
496,There is a person named nan.
754,There is a person named nan.
938,It's nan.
604,There is a person named nan.
134,It's nan.
267,Is that nan?
614,It's nan.
686,It's nan.
771,Is that nan?
537,Is that nan?
212,It's nan.
736,There is a person named nan.
375,Is that nan?
520,There is a person named nan.
621,Is that nan?
237,Is that nan?
543,Is that nan?
182,It's nan.
303,Is that nan?
424,There is a person named nan.
374,It's nan.
140,It's nan.
148,There is a person named nan.
862,There is a person named nan.
357,Is that nan?
836,It's nan.
910,There is a person named nan.
603,Is that nan?
164,It's nan.
988,There is a person named nan.
478,There is a person named nan.
909,Is that nan?
946,There is a person named nan.
123,Is that nan?
898,There is a person named nan.
656,It's nan.
176,It's nan.
776,It's nan.
44,a multiparty system allows for the airing of more viewpoints and would require politicians to build coalitions and compromise in order to get things accomplished
248,It's nan.
39,Is that nan?
476,It's nan.
80,It's nan.
393,Is that nan?
280,There is a person named nan.
903,Is that nan?
226,There is a person named nan.
12,introducing a multiparty system would be detrimental to stability and consistency of our political system
35,there are a lot of religions that take advantage of people atheism eliminates that from happening
28,nuclear weapons should be abolished because they have to potential to cause so much destruction
249,Is that nan?
194,It's nan.
962,It's nan.
1005,Is that nan?
351,Is that nan?
880,There is a person named nan.
99,Is that nan?
10,There is a person named nan.
388,There is a person named nan.
766,There is a person named nan.
610,There is a person named nan.
784,There is a person named nan.
266,It's nan.
808,There is a person named nan.
41,we should not ban cosmetic surgery for minors because sometimes they need it if they were in accidents or born deformed
915,Is that nan?
802,There is a person named nan.
321,Is that nan?
693,Is that nan?
472,There is a person named nan.
626,It's nan.
704,It's nan.
417,Is that nan?
867,Is that nan?
4,there are people who live from this activity and you have to get a better job
422,It's nan.
939,Is that nan?
110,It's nan.
362,It's nan.
892,There is a person named nan.
334,There is a person named nan.
884,It's nan.
250,There is a person named nan.
105,Is that nan?
494,It's nan.
339,Is that nan?
32,It's nan.
722,It's nan.
3,Is that nan?
32,we have too many problems here on our own planet to worry about putting money into searching space
742,There is a person named nan.
442,There is a person named nan.
562,There is a person named nan.
309,Is that nan?
177,Is that nan?
27,legalizing prostitution will allow prostitutes to push for equitable contracts and conditions something they cant do in the status quo since their work is illegal
807,Is that nan?
369,Is that nan?
429,Is that nan?
664,There is a person named nan.
484,There is a person named nan.
746,It's nan.
232,There is a person named nan.
692,It's nan.
890,It's nan.
184,There is a person named nan.
33,Is that nan?
178,There is a person named nan.
165,Is that nan?
975,Is that nan?
8,we should adopt atheism there is not one piece of evidence for religion being fact yet science is proven religion is a manipulative tactic based on lies
561,Is that nan?
597,Is that nan?
38,It's nan.
508,There is a person named nan.
14,economic sanctions end up hurting ordinary people more than the targeted governments
220,There is a person named nan.
40,it should be banned because it forces people to believe in the church
668,It's nan.
284,It's nan.
837,Is that nan?
340,There is a person named nan.
728,It's nan.
466,There is a person named nan.
914,It's nan.
904,There is a person named nan.
584,It's nan.
381,Is that nan?
322,There is a person named nan.
333,Is that nan?
500,It's nan.
945,Is that nan?
411,Is that nan?
992,It's nan.
831,Is that nan?
819,Is that nan?
1004,It's nan.
514,There is a person named nan.
609,Is that nan?
447,Is that nan?
800,It's nan.
310,There is a person named nan.
231,Is that nan?
43,children have not grown and truly formed their adult looks   cosmetic surgery for a child should be banned until as an adult the child can make a informed choice over their bodies not a whim of a child
344,It's nan.
711,Is that nan?
290,It's nan.
861,Is that nan?
526,There is a person named nan.
428,It's nan.
118,There is a person named nan.
15,Is that nan?
687,Is that nan?
1,private military companies are made up of soldiers that are probably much better trained than the kids we currently send to military
950,It's nan.
627,Is that nan?
8,It's nan.
747,Is that nan?
69,Is that nan?
320,It's nan.
34,in polygamy families children are confused having many mothers instead of one
770,It's nan.
435,Is that nan?
764,It's nan.
818,It's nan.
795,Is that nan?
640,There is a person named nan.
92,It's nan.
586,There is a person named nan.
969,Is that nan?
14,It's nan.
598,There is a person named nan.
436,There is a person named nan.
920,It's nan.
392,It's nan.
13,like other churches the church of scientology needs to be protected via the separation of church and state
538,There is a person named nan.
86,It's nan.
682,There is a person named nan.
454,There is a person named nan.
242,It's nan.
998,It's nan.
878,It's nan.
980,It's nan.
916,There is a person named nan.
394,There is a person named nan.
286,There is a person named nan.
860,It's nan.
928,There is a person named nan.
26,It's nan.
856,There is a person named nan.
412,There is a person named nan.
21,this church has harmed countless people and should be labeled more as a cult
536,It's nan.
826,There is a person named nan.
230,It's nan.
460,There is a person named nan.
291,Is that nan?
680,It's nan.
735,Is that nan?
891,Is that nan?
596,It's nan.
525,Is that nan?
170,It's nan.
106,There is a person named nan.
652,There is a person named nan.
82,There is a person named nan.
825,Is that nan?
568,There is a person named nan.
338,It's nan.
842,It's nan.
152,It's nan.
20,the ability to keep and use firearms is instrumental in a persons ability to persue safety life and liberty
51,Is that nan?
122,It's nan.
448,There is a person named nan.
778,There is a person named nan.
112,There is a person named nan.
