Argument ID	Premise
A07067	During the judicial activism, common sense can be applied where necessary.
A07067	Judiciary activism allows for common sense to be applied where necessary.
A07069	It is against certain religious beliefs and can be seen as immoral.
A07069	It is against certain religious beliefs and can be seen as immoral.
A07069	It is against certain religious beliefs and can be seen as immoral.
A07072	sex selection is the perfect solution for a family that has a history of all one gender, many families want the perfect one and one so it's perfect for those as well, no matter how you look.
A07072	The sex selection is the perfect solution for a family that has a history of all one gender, many families want the perfect one and one, so it is perfect for those too. it's a win no matter how you look.
A07072	The sex selection is the perfect solution for a family that has a history of all one gender, many families want the perfect one and one so it is perfect for those too, it's a win no matter how you look.
A07073	We should not ban the use of child actors because we would not have the shows and movies that are otherwise available.
A07073	We should not ban the use of child actors because we would not have the shows and movies that are otherwise available.
A07073	We should not ban the use of child actors because we would not have the shows and movies that are otherwise available.
A07076	Bullies should not be given second chances, because being victim of school bullying is a major risk factor for developing mental health problems like depression, anxiety and even suicidal thoughts.
A07076	Bullies should not have second chances : being victim of school bullying is a major risk factor for mental health problems like depression, anxiety and even suicidal thoughts.
A07076	Bullies should not be given second chances, as being a victim of school bullying is a major risk factor for developing mental health problems like depression, anxiety and even suicidal thoughts.
A07080	If someone hasn't learned by the first two chances then they aren't going to stop committing crimes, it makes more sense to lock them away than to let them continue committing crimes against the population.
A07080	If someone hasn't learned by the first two chances then they aren't going to stop committing crimes. It makes more sense to lock them away than to let them continue committing crimes against the population.
A07080	If someone hasn't learned by the first two chances, then they aren't going to stop committing crimes. it makes more sense to lock them away than to let them continue committing crimes against the population.
A07082	We should not adopt libertarianism because it will allow people to take advantage of freedoms and eventually infringe on other people's freedoms.
A07082	We should not adopt libertarianism because it will allow people to take advantage of freedoms and eventually violate the freedoms of other people.
A07082	We should not adopt libertarianism because it will allow people to take advantage of the freedoms and eventually infringe on the freedoms of other people.
A07089	Banning telemarketing has no approval anywhere as customers will not be able to see new products available to buy.
A07089	Bannning telemarketing has no approval anywhere as customers will not be able to see new products available to buy.
A07089	The prohibition of telemarketing has no approval anywhere as customers will not be able to see new products available to buy.
A07096	Yes, ban it, if i wanted to buy something i would know where to look for it without being bothered with constant calls.
A07096	Yes, ban it if i wanted to buy something i would know where to look without being bothered with constant calls.
A07096	Yes ban it, if i wanted to buy something i would know where to look for it without being bothered by constant calls.
A07097	It is an important part of the diet, tradition and economies of many countries and it is not our place to dictate terms to their culture as outsiders.
A07097	Whale hunting is an important part of the diet, tradition and economy of many countries and it is not our place to dictate terms to their culture as outsiders.
A07097	Whale whaling is an important part of the diet, tradition and economies of many countries, and it is not our place to dictate terms to their culture as outsiders.
A08014	Without a mandatory retirement age available to the employer, dismissal procedures would be likely to start earlier.
A08014	Without a mandatory retirement age available to the employer, dismissal procedures would likely start earlier.
A08014	Without a mandatory retirement age available to the employer, dismissal procedures would be likely to begin earlier.
A09002	As a non-addictive natural substance that is less harmful than current legal ones such as tobacco and alcohol, it seems that cannabis is still illegal simply due to old prejudices.
A09002	As a non-toxic natural substance that is less harmful than currently legal ones such as tobacco and alcohol, it seems that cannabis is still illegal simply due to old prejudices.
A09002	As a non-addictive natural substance that is less harmful than current legal ones such as tobacco and alcohol, it seems that cannabis is still illegal simply because of old prejudices.
A09004	Fast food is great when you need a quick meal on the run and is more nutritious than snacking on chocolate bars or unhealthy snacks.
A09004	Fast food is great when you need a quick meal on the run and it is more nutritious than snacking on chocolate bars or unhealthy snacks.
A09004	Fast food is great when you need a quick meal on the run and is more nutritious than snacking on chocolate bars or unhealthy snacks.
A09005	People should be allowed to join any club, cult, religious group they want and the government should not have a say in what an individual wants to participate in.
A09005	People should be allowed to join any club, cult, religious group they want, the government should not have a say on what an individual wants to participate in.
A09005	People should be allowed to join any club, cult, religious group they want and the government should not have a say in what an individual wants to participate in.
A09007	Language changes cannot be legislated, they evolve spontaneously over time, if people want to use gender-neutral language, it will slowly become part of their vocabulary.
A09007	Language changes cannot be legislated, they evolve spontaneously over time, if people want to use gender-neutral language, it will slowly become part of their vocabulary.
A09007	Language changes cannot be legislated, they evolve spontaneously over time, if people want to use gender-neutral language, it will slowly become part of their vocabulary.
A09008	If people want to use it then it is their choice.
A09008	If people want to use it, it is their choice.
A09008	If people want to use it then it is their choice.
A09013	Autonomous cars offer the opportunity for people to spend more time on things they enjoy doing during their commute rather than having to concentrate.
A09013	Autonomous cars offer the chance for people to spend more time on things they enjoy doing during their commute rather than having to concentrate on them.
A09013	Autonomous cars offer the opportunity for people to spend more time on the things they enjoy doing during their commute rather than having to concentrate.
A09015	Libertarianism doesn't account for obvious public needs that are better served through collective action than each individual competing for resources.
A09015	Libertarianism does not account for obvious public needs that are better served by collective action rather than each individual competing for resources.
A09015	Libertarianism doesn't account for obvious public needs that are better served by collective action than each individual competing for resources.
A09021	Subsidizing would allow more money to be spent on the editing process thus making wikepedia a more reliable source of information.
A09021	Subsidies would allow more money to be spent on the editing process, thus making wikepedia a more reliable source of information.
A09021	Subsidizing would allow more money to be spent on the editing process, thus making wikepedia a more reliable source of information.
A09023	The world of acting is a high pressure, extremely stressful place and children should be protected from it.
A09023	The world of acting is a high pressure, extremely stressful place and children should be protected from it.
A09023	The world of acting is a high pressure, extremely stressful place and children should be protected from it.
A09026	Intellectual property rights enable people to benefit from what they have worked so hard to achieve.
A09026	Intellectual property rights allow people to benefit from what they worked so hard to achieve.
A09026	Intellectual Property Rights enable people to benefit from what they have worked so hard to achieve.
A09028	Many people do not feel comfortable with their gender and feel offended when we use inappropriate words.
A09028	Many people do not feel comfortable with their gender and feel offended when we use inappropriate words.
A09028	Many people do not feel comfortable with their gender and feel offended when we use inappropriate words.
A09030	People need to grow up and realise that the world is a difficult place.
A09030	People need to grow up and realise that the world is a hard place.
A09030	People need to grow up and realise that the world is a difficult place.
A09031	Legalizing prostitution would make the profession less dangerous and less dangerous to one's health.
A09031	Legalizing prostitution would make the profession less dangerous and less dangerous to one's health.
A09031	Legalizing prostitution would make the profession less dangerous and less dangerous to one's health.
A09033	Collectivism is a facet of socialism, communism, etc. and eliminates individual value.
A09033	Collectivism is a facet of socialism, communism, etc., and eliminates individual value.
A09033	Collectivism is a facet of socialism, communism, etc. and eliminates individual worth.
A09037	In today's hectic fast-paced society, it is freeing to take time to sit quietly and pray. It should be encouraged in our schools.
A09037	In today's hectic fast-paced society, it is freeing to take time to sit quietly and pray and should be encouraged in our schools.
A09037	In today's hectic and fast-paced society, it is freeing to take time to sit quietly and pray. It should be encouraged in our schools.
A09039	We should not ban missionary work, because people have a right to help others if they choose to do so.
A09039	We should not ban missionary work because people have a right to help others if they choose to do so.
A09039	We should not ban missionary work, because people have a right to help others if they choose to do so.
A09042	The zero tolerance policy is not a good thing at all, kids getting punished for their actions and humiliated in front of a audience is really not the greatest thing to do.
A09042	The zero tolerance policy is not really a good thing. Children being punished for their actions and humiliated in front of a crowd is really not the great thing to do.
A09042	The zero tolerance policy is not a good thing at all, kids being punished for their actions and humiliated in front of a audience is really not the best thing to do.
A09045	Economic sanctions can be very effective in bringing about social change.
A09045	Economic sanctions can be very effective in bringing about social change.
A09045	Economic sanctions can be very effective in bringing about social change.
A09046	The mandatory retirement should be ended as it is unfair to older people.
A09046	Should be ended mandatory retirement as it is unfair on older people.
A09046	The mandatory retirement should be ended because it is unfair to older people.
A09048	There are many types of ideologies in multi-party systems - as opposed to two-party systems, where the nation is not divided into two rival groups.
A09048	In multi-party systems there are many types of ideologies - as opposed to two-party systems where the nation is not divided into two rival groups.
A09048	In multi-party systems there are many types of ideologies - as opposed to two-party systems where the nation is not divided into two rival groups.
A09053	Autonomous cars can make trips more relaxing and help the traveler arrive refreshed and happy, and it can also eliminate road rage.
A09053	Autonomous cars can make trips more relaxing and help the traveler arrive refreshed and happy, and also eliminate road rage.
A09053	Autonomous cars can make trips more relaxing and help the traveler arrive refreshed and happy and can also eliminate road rage.
A09060	The Olympic Games allow countries around the world to compete in friendly competition and are a healthy outlet for national pride.
A09060	The Olympic Games allow countries around the world to compete in friendly competition and is a healthy outlet for national pride.
A09060	The Olympic Games allow countries around the world to compete in friendly competition and is a healthy outlet for national pride.
A09067	Capital punishment should be removed from society as it is a backwards and medieval solution to crime that has no place in a modern society.
A09067	Capital punishment should be removed from society, as it is a backwards and medieval solution to crime that has no place in a modern society.
A09067	Capital punishment should be removed from society as it is a backward and medieval solution to crime that has no place in a modern society.
A09070	They serve as a deterrent for any rogue dictator to strike an enemy.
A09070	They serve as a deterrent for any rogue dictator to strike an enemy.
A09070	They serve as a deterrent for any rogue dictator to strike an enemy.
A09073	Zoos are a great and cheap way for children to learn about animals from all over the world.
A09073	Zoos are a great and cheap way for children to learn about animals from all over the world.
A09073	Zoos are a great and cheap way for children to learn about animals from all over the world.
A09076	Cosmetic surgery is important to repair damaged skin or a member of someone involved in an accident, which will help them to regain confidence and live their life fully.
A09076	Cosmetic surgery is important to repair damaged skin or a member of a person involved in an accident, to help them regain confidence and live their life fully.
A09076	Cosmetic surgery is important to repair damaged skin or the members of people involved in an accident, which will help them regain confidence and live their life fully.
A09077	Sex selection can lead to an over abundance of a favored gender in society.
A09077	Species of gender can lead to an over abundance of a favored gender in society.
A09077	Sexe selection can lead to an over abundance of a favored gender in society.
A09079	A person uses his imagination and hard work to write as book or music, they should be able to benefit from their work, it should not be in public domain.
A09079	A person uses his imagination and hard work to write as book or music, and should be able to benefit from their work, it should not be in the public domain.
A09079	a person uses his imagination and hard work to write as book or music. They should be able to benefit from their work. It should not be in the public domain.
A09080	Pride parades are platforms for minority groups to spread awareness about discrimination and abuse.
A09080	Pride parades are platforms for minority groups to spread awareness of discrimination and abuse.
A09080	Pride parades are platforms for minority groups to spread awareness about discrimination and abuse.
A09082	Animals should not have to suffer to save a few dollars, businesses need better morals, and treating animals with care should be a top priority regardless of the cost, which also hurts small farmers.
A09082	Animals should not have to suffer to save a few dollars, businesses need better morals, and treating animals with care should be a top priority regardless of the cost, and also hurts small farmers.
A09082	Animals should not suffer to save a few dollars, businesses need to have better morals and treating animals with care should be a top priority regardless of the cost, which also hurts small farmers.
A09083	Telemarketing targets people who are vulnerable and easily conned, such as the elderly.
A09083	Telemarketing preys on people who are vulnerable and easily manipulated, such as the elderly.
A09083	Telemarketing preys on people who are vulnerable and easily conned, such as the elderly.
A09091	Living within one's financial means is important.
A09091	The living within one's fiscal means is important.
A09091	Living within one's fiscal means is important.
A09093	You do not become unqualified for a job simply because you reach the retirement age.
A09093	Simply because you reach the retirement age, you do not become unqualified for a job.
A09093	You do not become unqualified for a job simply because you reach retirement age.
A09094	We should adopt libertarianism because it causes less outside interference in your personal life.
A09094	We should adopt libertarianism because it causes less outside interference in your personal life.
A09094	We should adopt libertarianism because it causes less interference in your personal life.
A09097	People have a right to defend themselves and their loved ones.
A09097	People have a right to be able to defend themselves and their loved ones.
A09097	People have a right to defend themselves and their loved ones.
A10002	Minors are too young to know what they are doing so make them wait until they are adults and better able to make these types of decisions.
A10002	Minors are too young to know what they are doing so make them wait until they are adults and better able to make these types of decisions.
A10002	Minors are too young to know what they are doing so make them wait until they are adults and better able to make these kinds of decisions.
A10013	Capital punishment is seen as a cruel and inhumane way of treating prisoners.
A10013	Capital punishment is seen as a cruel and inhuman way of treating prisoners.
A10013	Capital punishment is seen as a cruel and inhuman way of treating prisoners.
A10018	Some older workers love their job and would be devastated to be forced to stop working.
A10018	Some older workers love their job and would be devastated to be forced to stop working.
A10018	Some older workers love their job and would be devastated if they were forced to stop working.
A12004	Economic sanctions are bullying and will not result in the country complying or changing its policies.
A12004	Economic sanctions are bullying and it will not result in the country complying with or changing their policies.
A12004	Economic sanctions are bullying and will not result in the country complying or changing its policies.
A12005	There is no justification for mass destruction and therefore nuclear weapons are inherently immoral, like private persons should not be able to own assault weapons, the states should be barred from creating and owning nuclear weapons.
A12005	There is no justification for mass destruction, therefore nuclear weapons are inherently immoral. Similarly, as private persons should not be able to own assault weapons, the states should be barred from creating and owning nuclear weapons.
A12005	There is no justification for mass destruction, therefore nuclear weapons are inherently immoral, as private persons should not be able to own assault weapons, the states should be barred from creating and owning nuclear weapons.
A12010	Multi-party systems slow down what gets done because we have too many different sides trying to come to an agreement.
A12010	Multi-party systems slow down what gets done because we have too many different sides trying to come to an agreement.
A12010	Multi-party systems slow down what gets done because we have too many different sides trying to come to an agreement.
A12019	The Olympics have long been the goal for athletes to be the best, so that abolishing the games would take away their dreams and ambitions.
A12019	The olympics have long been the goal for athletes to be the very best so that abolishing the games would take away their dreams and ambitions.
A12019	The Olympics have been the long-standing goal for athletes to be the very best, so that abolishing the games would take away their dreams and ambitions.
A12031	There are things at Pride parades that young children should not see, regardless of sexual preferences.
A12031	There are things in pride parades that young children should not see, regardless of their sexual preferences.
A12031	There are things in pride parades that young children should not see, regardless of sexual preferences.
A12039	We exploit the youth purely for entertainment.
A12039	We exploit youth purely for entertainment.
A12039	We are exploiting the youth purely for entertainment.
A12042	We should abolish safe spaces because those who are easily offended need to grow up.
A12042	We should abolish safe spaces because those who are easily offended need to grow up.
A12042	We should abolish safe spaces because those who are easily offended need to grow up.
A12043	We should abandon the use of school uniform because people need to be free to express their thoughts on clothing.
A12043	We should stop using the uniform of school, because people need to be free to express their thoughts on clothing.
A12043	We should abandon the use of school uniform because people need to be free to express their thoughts on clothing.
A12049	We should not limit executive compensation because it is their company that they started, they have a right to the profits.
A12049	We should not limit executive compensation because it is their company that they started, they have a right to the profits.
A12049	We should not limit executive compensation because it is their company that they started, they have a right to the profits.
A12050	Allowing cosmetic surgery for minors makes it easy for minors to pressure well-intentioned parents even if it is objectively a bad decision. A ban prevents parents from being put in this situation.
A12050	Allowing cosmetic surgery for minors makes it easy for minors to pressure well-intentioned parents even if it is objectively a bad decision. A ban prevents parents from being put in this situation.
A12050	Allowing cosmetic surgery for minors makes it easy for minors to pressure well-intentioned parents even if it is objectively a bad decision, preventing parents from being put in this situation.
A12051	This is a slippery slope and cloning could be used for terrible purposes, it is dangerous to open this door.
A12051	This is a slippery slope and cloning could be used for terrible purposes, it is dangerous to open this door.
A12051	This is a slippery slope and cloning could be used for terrible purposes. it is dangerous to open this door.
A12060	A mandatory retirement age helps employers regularly refresh the workforce with fresh talent.
A12060	A mandatory retirement age helps employers regularly refresh the workforce with fresh talent.
A12060	A mandatory retirement age helps employers regularly refresh the workforce with fresh talent.
A12064	Supporting embryonic stem cell research is important because it is the future of medicine and it can help scientists find new cures for diseases.
A12064	The support of embryonic stem cell research is important because it is the future of medicine and can help scientists find new cures for diseases.
A12064	Supporting embryonic stem cell research is important because it is the future of medicine and it can help scientists to find new cures for diseases.
A12066	Human cloning gives individuals the chance to have a child that would otherwise not be able to.
A12066	Human cloning gives individuals the chance to have a child they might not otherwise be able to have.
A12066	Human cloning gives individuals the chance to have a child that they might not otherwise be able to.
A12068	Student loans cannot be subventioned as it is not only unaffordable in the current climate but it would encourage universities to offer degree courses for financial gain.
A12068	Studen loans cannot be subventioned as not only is it unaffordable in the current climate, it would also encourage universities to offer degree courses for purely financial gain.
A12068	Student loans cannot be subventioned because not only is it in the current climate unaffordable, it would encourage universities to offer degree courses purely for financial gain.
A12069	Judiciary activism is sometimes the best way to get things done.
A12069	Judiciary activism is sometimes the best way to get things done.
A12069	Judiciary activism is sometimes the best way to get things done.
A12072	Space exploration is the next frontier.
A12072	Space exploration is the next frontier.
A12072	Space exploration is the next frontier.
A12090	Parents should be able to choose what sex child they will have.
A12090	Parents should be able to choose what sexual child they are going to have.
A12090	Parents should be able to choose which child they are going to have sex.
A12094	Algorithmic trading allows for greater numbers of trades to happen, bringing more people involved in the economy.
A12094	The algorithmic trading allows for greater numbers of trades to happen, getting more people involved in the economy.
A12094	Algorithmic trading allows for greater numbers of trades to happen, and more people to be involved in the economy.
A12095	The olympic games offer a friendly competition meeting where the best athletes around the world can come together to celebrate the best of human physical achievement.
A12095	The olympic games offer a friendly competition meeting where the best athletes around the world can come together to celebrate the best of human physical achievement.
A12095	The olympic games offer a friendly competition meeting where the best athletes around the world can come together to celebrate the best of human physical achievement.
A12102	Cosmetic surgery has too many risks of something going wrong compared to the benefit of looking more pleasing aesthetically.
A12102	Cosmetic surgery has too many risks of something going wrong compared to the benefit of looking more aesthetically pleasing.
A12102	Cosmetic surgery has too many risks of something going wrong compared to the benefit of looking more aesthetically pleasing.
A12107	The olympic games are a testament to the spirit of amateur athleticism.
A12107	The Olympic games are a testament to the spirit of amateur athleticism.
A12107	The olympic games are a testament to the spirit of amateur athleticism.
A12109	Libertarianism removes the Big Brother - Tyranny of Big Government and allows more freedom for the people.
A12109	Libertarianism removes the big brother tyranny of big government and allows more freedom for the people.
A12109	Libertarianism removes the big brother tyranny of big government and allows more freedom for the people.
A12110	We shouldn't have to adopt a gender neutral language, i think people should just understand that people speak languages in different ways and that should be acceptable to them.
A12110	We shouldn't have to adopt a gender neutral language, i think people should just understand that people speak different languages and they should be acceptable of that.
A12110	We shouldn't have to adopt a gender neutral language, i think people should understand that people speak different languages and that they should be acceptable of that.
A12112	We shouldn't ban fast food because it is an affordable option for people who might not be able to get hot food other ways.
A12112	We shouldn't ban fast food because it is an affordable option for people who might not be able to get hot food other ways.
A12112	We shouldn't ban fast food because it is an affordable option for people who might not be able to get hot food otherways.
A12117	It would help people spend less money, which would be good for the economy.
A12117	It would help people to spend less money, which would be good for the economy.
